id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
13683887,wildlymistaken,"",CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/20154428/medium.jpeg,35.12595,-75.9199055556,Sisyrinchium rosulatum,Annual Blue-eyed Grass,169028,Iridaceae
13746000,zcarroll,,,https://static.inaturalist.org/photos/20259961/medium.jpg,35.5130466667,-76.2163866667,Commelina communis,Asiatic dayflower,52927,Commelinaceae
13885402,kjallred,,,https://static.inaturalist.org/photos/20504140/medium.jpg,35.1158073618,-75.9873237255,Callicarpa americana,American beautyberry,49193,Lamiaceae
13954821,apexandrew,,,https://static.inaturalist.org/photos/20627309/medium.jpg,35.1059088763,-75.986323664,Ruellia simplex,Mexican ruellia,126633,Acanthaceae
13954846,apexandrew,,,https://static.inaturalist.org/photos/20627374/medium.jpg,35.1063741139,-75.9856711329,Crocosmia × crocosmiiflora,Montbretia,181465,Iridaceae
14658308,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21863137/medium.jpeg,35.1149902344,-75.9834289551,Lantana camara,common lantana,50333,Verbenaceae
14658646,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21863376/medium.jpeg,35.1143989563,-75.981262207,Euonymus fortunei,wintercreeper,130893,Celastraceae
14671981,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21871969/medium.jpeg,35.1665114952,-75.9874951344,Ipomoea imperati,beach morning-glory,130193,Convolvulaceae
14672487,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21872233/medium.jpeg,35.1256256104,-75.9252548218,Phyla nodiflora,turkey tangle frogfruit,59040,Verbenaceae
14672501,irag,Ira Gershenhorn,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/21872286/medium.jpeg,35.1256256104,-75.9252243042,Melilotus albus,White Sweetclover,58907,Fabaceae
